,0
spotify:artist:6guTJsgPymDUVfqDJyz5UG,"Galaxie 500,48"
spotify:artist:502gYHkFCtLzBIcU4ctPLd,"Zeph,42"
spotify:artist:7xSEWLsywYbocdtt3xsQsU,"Vinyl Theatre,49"
spotify:artist:3tM6SwRysCaIK0kW4h0mVP,"Spose,49"
spotify:artist:5Mbw0q0VWmUbNrqqmQrSN0,"Casey Breves,44"
spotify:artist:2YKp8Odp8GGbAkVU60Yk2Y,"Coconut Records,47"
spotify:artist:73BDzWqbf1grbgQ8xYn2ou,"Ben Mazué,55"
spotify:artist:7axA2bNeZsae6t2mgxoSFh,"Charly Bliss,43"
spotify:artist:6VCoG3MG7ZKRxDjaYOvtrF,"Love of Lesbian,61"
spotify:artist:7rrTqtOUOwva4sgTx9C9F9,"Joy Oladokun,47"
spotify:artist:5gWhlJBlLQGLOgYWO8lwCU,"Saves The Day,48"
spotify:artist:7t6GsqGAwrj1kwYbvNX0hN,"Classified,51"
spotify:artist:6cJhMTxBvrX7ASn98Puprc,"Matt Bloyd,44"
spotify:artist:3pwoLiEbkKB4c4Vj9Mzypk,"Brigitte,53"
spotify:artist:0hK26QoGcuKV3lH0x9MvUU,"The Colourist,42"
spotify:artist:1Jp2BVxy67R0OaudOV9lm1,"The Pirouettes,48"
spotify:artist:2Ksaxtwx8hMgjUkzIoGDXE,"Tim Dup,54"
spotify:artist:2GE6MAdyGzeXpY9TwIYd3l,"Teen Daze,46"
spotify:artist:0Qgkq6NFpku5ud0itbMYpw,"iSH,34"
spotify:artist:4kubsO16bEfCADaVUyoYb6,"Giraffage,49"
spotify:artist:01pbsrLZgBLuMIoU10Ypyb,"My Brothers And I,45"
spotify:artist:6EkvDqOOEX08BotcQppKoD,"Wolf Gang,37"
spotify:artist:039HWymb5EJiSHhtlJctsi,"Say Yes Dog,48"
spotify:artist:6y1aZyP40077De3neGJD2b,"Alain Bashung,53"
spotify:artist:6xriZDSK3wPXhOoZXr9fzF,"Rubblebucket,44"
spotify:artist:3SdDP7u1TYReqBQ4f9BT6B,"The Boy Least Likely To,32"
spotify:artist:1FTFy5sAOlZpN6GY6s9VLh,"Fellini Félin,43"
spotify:artist:69irZ4R8OsrLHjr6VmMmMg,"Gaël Faye,51"
spotify:artist:41y1iPh0WqB7tyGdzyeinZ,"Blue Hawaii,42"
spotify:artist:6HfPfjqkmkpLbYqYhTeNuB,"Jared Evan,36"
spotify:artist:2aW5pvTZYAAZxbh75uVzZD,"Zoufris Maracas,50"
spotify:artist:4FmkyL0ggkDBUUoPzBlo80,"Amanda Bergman,44"
spotify:artist:7zOVGL0VYcCqXgN1tEMp9d,"GENTS,38"
spotify:artist:7nrxF1ilcwJNHofGUfsC84,"The Zen Circus,49"
spotify:artist:10QjFzenujarVaaOGrNXOk,"The Belle Brigade,34"
spotify:artist:61r4cE4aoOD50wPNhQ5fF7,"Elio e le Storie Tese,46"
spotify:artist:6q8cNe6Wif1WvM97vcFD8O,"AaRON,50"
spotify:artist:6BpaTDEjadTL9Plx4VUKvo,"Sleep Party People,40"
spotify:artist:0S2pLaAtWA8lyNyLSdpnbw,"Anni B Sweet,51"
spotify:artist:6buUuVTdxxAe5ODJtKZ4hP,"The Shoes,41"
spotify:artist:4Cjsh7anKDaMnQ3YHB1Xwq,"Panama Wedding,40"
spotify:artist:5Gpi2vZtZtUPrMnlBDdpre,"Billie The Vision & The Dancers,43"
spotify:artist:6A7BMVAmKqMDXcFb9T7wB7,"Matt Easton,39"
spotify:artist:1SlPJ2l80sMnCHpz1wB8nT,"Blue Scholars,42"
spotify:artist:6aUKy2LG1OU6KhYOZADolN,"Knowmads,40"
spotify:artist:0C47YN6zg3vCNA2gIScdgW,"99 Posse,43"
spotify:artist:2IL35FbYiOta150uSYBCEg,"Eisley,39"
spotify:artist:6UB2gLFLsQHjdKJneXvvEu,"Adam Naas,45"
spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5,"My Bloody Valentine,49"
spotify:artist:2SWWw5uB9cO5m7zJQZqwmr,"BOWKYLION,56"
spotify:artist:0bnwha8WPTU2sf4Q4P6vE0,"El Perro Del Mar,37"
spotify:artist:2VR9eUwDCe6jccal0ZQ5FV,"Coque Malla,54"
spotify:artist:2pboyZFylWoAL86o6E1gDo,"Niccolò Fabi,48"
spotify:artist:4Rvd84k54Bx41YK2kH3GoA,"Pi Ja Ma,33"
spotify:artist:1gRsYpSd9fR8x92ppdlCg3,"Motta,47"
spotify:artist:28V657x2IVJnSW3Srw6Ubd,"Someone Still Loves You Boris Yeltsin,36"
spotify:artist:1ssEwBiz4ZKrbgR6o8vOeg,"Polycat,55"
spotify:artist:3Wpco0QNxrTY1Gnqo06J6P,"Michi,40"
spotify:artist:6q8FspLLQOHpabMMbEb8Vq,"Bluvertigo,39"
spotify:artist:5reN867iZWqzoNE7p78ShV,"Earth Patravee,54"
spotify:artist:1koU3PYin1x0g79oU9VB4A,"Marlene Kuntz,40"
spotify:artist:3Dcckn2A8PXmu8zLpMuO3B,"Cats On Trees,47"
spotify:artist:721bfjbiX9Koqt2rO8PWOY,"Lowly,34"
spotify:artist:4ehBGotbRDOgqcrUomjJyd,"Lasse Lindh,41"
spotify:artist:18lGx9dGISidjT90GqHtPi,"Trevor Holmes,32"
spotify:artist:1nfsteEnDvYQUoFNJtsiM4,"Clay Finnesand,37"
spotify:artist:1tnjjbgszXYa8BbyTzwM0w,"Whirr,38"
spotify:artist:76eomjvvcX2zFnL3nnAaP5,"Tom Fearon,28"
spotify:artist:01U4yWwtUKMckbI55OiT7g,"Bugo,54"
spotify:artist:0x4ObwxpLWRERwNiZ1kWyE,"Dylan Geick,31"
spotify:artist:4Y1f57EtKq7YF6DfftpopX,"Broken Twin,37"
spotify:artist:3i0VvjFfLzfX8TgDhgNWfe,"Jonathan Johansson,49"
spotify:artist:6UBVuFUOlakH7cwOKHleHJ,"Ivan Graziani,41"
spotify:artist:7mIcqNMW2QZoCNiXvzTilv,"Claire Michelle,31"
spotify:artist:3T5VmqTVAlLU7X0HKfCqY5,"Minuit,35"
