,0
spotify:artist:4wYzzR0lpEub1gUU8bbBTw,"BLOXX,47"
spotify:artist:0bZCak2tcRMY1dzEIuwF42,"The Heavy,60"
spotify:artist:1eIoJGCu3rShrRm2wfOhN8,"Saint Raymond,53"
spotify:artist:6TcnmlCSxihzWOQJ8k0rNS,"Third Eye Blind,67"
spotify:artist:4svozL97Y6aqWeZNJPqvsL,"Simple Creatures,53"
spotify:artist:3T55D3LMiygE9eSKFpiAye,"Badflower,60"
spotify:artist:5d1JhBfyb58upMXCZOdbQu,"Phil Wickham,66"
spotify:artist:6eJqAWJdd8JhAN1pQGie4r,"Casting Crowns,67"
spotify:artist:4WjeQi9wm84lYTIWZ95QoM,"Boston Manor,53"
spotify:artist:46xMgypLHP8GNsYME3vRnV,"The Forest Rangers,55"
spotify:artist:3lDpdwM8KILepMHqBWUhIA,"The Struts,59"
spotify:artist:5yXAFDZNUNyO92l5WTImkO,"Billy Bragg,56"
spotify:artist:5bmqhxWk9SEFDGIzWpSjVJ,"The Driver Era,58"
spotify:artist:356c8AN5YWKvz86B4Sb1yf,"Rival Sons,58"
spotify:artist:161AC1AVRkIGIMxyj5djFQ,"Clutch,58"
spotify:artist:6j1fmLreVuAay7k6Gudfa2,"Leeland,62"
spotify:artist:18H0sAptzdwid08XGg1Lcj,"Death From Above 1979,55"
spotify:artist:6WoTvA9qinpHtSRJuldYh6,"The Fall,49"
spotify:artist:7DRjM0vtwvKxZYnd9mPaP9,"Fatherson,41"
spotify:artist:5sD1ZLf2dGQ9gQ3YJl1eAd,"Blind Melon,63"
spotify:artist:2qT62DYO8Ajb276vUJmvhz,"XTC,54"
spotify:artist:6EXjdbEiqhPzodtf7MtVos,"InMe,36"
spotify:artist:6lcwlkAjBPSKnFBZjjZFJs,"(Sandy) Alex G,58"
spotify:artist:5krkohEVJYw0qoB5VWwxaC,"The Black Crowes,62"
spotify:artist:7ITd48RbLVpUfheE7B86o2,"The Decemberists,59"
spotify:artist:6PFydyUHMKD2jm5NXzRPiK,"Mental As Anything,49"
spotify:artist:4BFMTELQyWJU1SwqcXMBm3,"The Stooges,56"
spotify:artist:7EFB09NxZrMi9pGlOnuBpd,"The Horrors,51"
spotify:artist:62sC6lUEWRjbFqXpMmOk4G,"Fugazi,55"
spotify:artist:4DUQBYAyOTZotSEdKhaf6c,"Basement,51"
spotify:artist:6yY9g2nwqyduN2RpxRHWdy,"Sunset Sons,41"
spotify:artist:1fpXM23IoNckJ7NDAm8YJQ,"Mark Lanegan,53"
spotify:artist:0UKfenbZb15sqhfPC6zbt3,"DEVO,58"
spotify:artist:1UfzhwcOR4yfX7yHTPfC9m,"Joywave,61"
spotify:artist:6S58b0fr8TkWrEHOH4tRVu,"Switchfoot,62"
spotify:artist:20bAxKr0YrCvceZeLqs37e,"Nomy,56"
spotify:artist:7zyObVag8rUjItn71SkIrh,"Survive Said The Prophet,56"
spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi,"Bauhaus,53"
spotify:artist:4Xxkt0tSJr1uNxGDZcJLRc,"VANT,40"
spotify:artist:5RTzLFUNaRULfg2DPh5DPO,"We Are The Ocean,36"
spotify:artist:4S1nvNHWiZLP4rzwmULmUa,"Big Data,54"
spotify:artist:7Hvq85OU8T7Hsd63zNBwaL,"black midi,46"
spotify:artist:71NBOcJ9lMeXqnbnya1z0x,"Himalayas,44"
spotify:artist:6DKmuXxXASTF6xaJwcTfjv,"Spiritualized,51"
spotify:artist:39xmI59WrIMyyJjSDq6WCu,"Crowder,61"
spotify:artist:76Se0uC5hM5u1R410UHAFp,"Black Peaks,35"
spotify:artist:6KNqvxgfYVRSzgAE1j2UT5,"Declan Welsh and The Decadent West,34"
spotify:artist:1GKYNY4rIPnOuTfC0J1IWw,"Audrey Assad,57"
spotify:artist:6iy8nrBbtL57i4eUttHTww,"The Good, the Bad & the Queen,43"
spotify:artist:5Mhs3Eu8lU6sRCtRYsmABV,"Black Flag,54"
spotify:artist:34482S5nfxR441wcnVfrHi,"Noah Gundersen,55"
spotify:artist:6P7kkhED6EPrfoZuxz20Fo,"Spiderbait,52"
spotify:artist:2N2EFVDEbp2JB8ulEUVIxp,"Violent Soho,56"
spotify:artist:75U40yZLLPglFgXbDVnmVs,"The Mars Volta,54"
spotify:artist:0OuSnRyi1OkLPkR4AqzJwi,"Carolina Liar,49"
spotify:artist:1bqX4oZFTWIQFk90AwKfnC,"Drenge,38"
spotify:artist:64tVHZVSAZhDEiOJxnb6hE,"Sparklehorse,49"
spotify:artist:35b2hm2fvbdZnckJO6FijB,"The Blackout,33"
spotify:artist:3driPpCh1JEUnPFKGyHXDr,"New Medicine,52"
spotify:artist:0iMnpaEHXkgMT956CmP1kj,"The Dangerous Summer,50"
spotify:artist:0L8jXe7QeS9oYUoXbANmX4,"Jukebox The Ghost,56"
spotify:artist:3QgSmABpItIdj908ek80n5,"Morphine,52"
spotify:artist:01WjpKiWVNurV5hjIadB8C,"Filter,56"
spotify:artist:0EyuKHE1AeE9lWUF8mzKVp,"Fuel,58"
spotify:artist:62elZbH5Iop8UPcChp7OrU,"Can't Swim,48"
spotify:artist:7v35CkHBaT1SStgQHl95a0,"Tenth Avenue North,60"
spotify:artist:4wYk01oPJNfaEssVFL46oQ,"Coast Modern,57"
spotify:artist:1189BemPY7h2lgaH1pkzGX,"Mono Inc.,54"
spotify:artist:5k8vZsGwQ2AlHNfsne055D,"Twin Wild,42"
spotify:artist:0pwyD6DhbFWn8uVSz2Fr0w,"The Summer Set,51"
spotify:artist:3DFoVPonoAAt4EZ1FEI8ue,"Sir Sly,55"
spotify:artist:5pUmXBIQtqpvdV1HAy2xYC,"Never Shout Never,55"
spotify:artist:2gOYcCjg3QuNkzc3m0C0zl,"WAR*HALL,45"
spotify:artist:1ll45mCZIveI9KHNZx2DdS,"Purple Mountains,46"
spotify:artist:6DaXEbr3LdLNcui8pZf6AF,"The Luka State,38"
spotify:artist:4ePunOqQbOYoQwd1298g3Z,"Silver Jews,48"
spotify:artist:0AUkXuvc92Zd0E9qKbkfsy,"Pulled Apart By Horses,36"
spotify:artist:3UvcmAOZt64oKpP95f6MMM,"Big Star,50"
spotify:artist:4B06m6NJ8e5AnzIZNtZtta,"Rews,33"
spotify:artist:7qTUKYzO77RvL1Kxie0xUO,"Dead Posey,42"
spotify:artist:0CqDqmyIQ9VQHQp52OEbB0,"Unspoken,57"
spotify:artist:5xeBMeW0YzWIXSVzAxhM8O,"of Montreal,56"
spotify:artist:06y1hH4hu3rcTUXHJevPCf,"Ben Lee,49"
spotify:artist:4oV5EVJ0XFWsJKoOvdRPvl,"Guided By Voices,50"
spotify:artist:4KXp3xtaz1wWXnu5u34eVX,"kent,61"
spotify:artist:3kYFawNQVZ00FQbgs4rVBe,"Artist Vs Poet,48"
spotify:artist:31M8EXHYtEqOqVb1X7JRVe,"Dead Poet Society,44"
spotify:artist:0FHPAcPoHtExxmF68aEChO,"King Nun,31"
spotify:artist:0FHW0Lp33r3fvIG0HL4mW0,"Self Deception,46"
spotify:artist:4q7PS6zi0CyrEo23orQCkW,"Travis Cottrell,49"
spotify:artist:716ZwtZBmwROBXcFmCzfdM,"Andrew McMahon in the Wilderness,54"
spotify:artist:3R6c2tWDBeYB1GncjLMn9n,"Candlebox,56"
spotify:artist:14cxUg2t2XDDqd2iOwXGW1,"Jay Smith,48"
spotify:artist:7DhP3bGT7dzr1dCkkH5mTS,"David Crowder Band,53"
spotify:artist:2Tkg8omOIsTL617yXVt26e,"Pillar,48"
spotify:artist:41fDGRDlzczk5Yo2wDo0H4,"Australian Crawl,54"
spotify:artist:3XR64HmFo4OvexUUNW7TP0,"Mother Love Bone,46"
spotify:artist:0m34JtkojthW5WYugFm0e3,"Armors,46"
spotify:artist:6EOeU7ImqZEylXzPQ6eu0j,"BlackWaters,29"
spotify:artist:0qKOMcuFgagNQJWHHK7NY6,"Laura Story,52"
spotify:artist:5WcisvYoq6332gCUX039Jd,"We Are Messengers,56"
spotify:artist:1NU9Em6e8dDo36Js6nEo3t,"A Rocket To The Moon,55"
spotify:artist:2dxi3wnJ9h9kNioaWyIpYd,"Greg Dulli,39"
spotify:artist:5eZZMWCV8KtbntorYxoigR,"JARV IS...,32"
spotify:artist:5TOosZsVbwb5O1BOFdcLmw,"Soul Coughing,43"
spotify:artist:0fIUq6BR8xSAMsi1VvBW2e,"Haggard Cat,25"
spotify:artist:3imCOAQnI4fF5dsncQqLBW,"the peggies,46"
spotify:artist:3kbBWco9PZ5eSQsNScwG6U,"Built To Spill,54"
spotify:artist:2cPIQ8eVSqSKGjBQXgi3WH,"Organek,51"
spotify:artist:4Y2ImQoh83EyhkbaJXmJr1,"The Classic Crime,47"
spotify:artist:415JrPfN7ukaTu8JV8BLE8,"Local H,50"
spotify:artist:1NMrkFHZakHLMMD30DCmb3,"Chris Thompson,34"
spotify:artist:2UDplVRprMbazU74Hq8OLl,"The Jayhawks,49"
spotify:artist:1PokjXeIq2zVosXbTEaNlx,"J Mascis,41"
spotify:artist:0BNG5EOWoNlIE1Q1c4L0Kh,"Dhani Harrison,39"
spotify:artist:0TeuSnc3TJ2P2Vn8UOgovp,"Superchick,41"
spotify:artist:03hlOXqRyyXO3ectp3eEbU,"Iceage,41"
spotify:artist:2GATzeg62cr6sH29wSOVWe,"Red House Painters,42"
spotify:artist:2gWNtwxO5mOAmjE8EWw2qt,"USS (Ubiquitous Synergy Seeker),46"
spotify:artist:0hGpZy6ws8FofByMkt0CV1,"Pain,47"
spotify:artist:2dEgi0MDKoSY3nQzuAuruk,"Pegasus Bridge,23"
spotify:artist:79HbBkVgOVUuVhuTJ50pIx,"Teenage Wrist,38"
spotify:artist:122qG4lB9vG6XCjrwJPnRJ,"Royal Tusk,43"
spotify:artist:57b3sKD9pGilMb2QlMqArq,"Hardcore Superstar,48"
spotify:artist:1CmWVjnzTRTqZqdVIlZSSY,"Royal Tailor,45"
spotify:artist:1V3Nl0Y3EZwqP38KHws6vB,"H-Blockx,43"
spotify:artist:6xSTQT32ZxLQPe37QIC308,"Anna Ternheim,51"
spotify:artist:1J4ACYB6yMqd79q3rjskqs,"Thurston Moore,36"
